ID;Class
ID0405;24
ID0406;24
ID0407;24
ID0408;24
ID0409;24
ID0410;24
ID0411;25
ID0412;25
ID0413;25
ID0414;25
ID0415;25
ID0416;25
ID0417;25
ID0418;25
ID0419;25
ID0420;25
ID0421;25
ID0422;25
ID0423;25
ID0424;25
ID0425;25
ID0426;26
ID0427;26
ID0428;26
ID0429;26
ID0430;26
ID0431;26
ID0432;26
ID0433;26
ID0434;26
ID0435;26
ID0436;26
ID0437;26
ID0438;26
ID0439;26
ID0440;26
ID0441;26
ID0442;26
ID0443;26
ID0444;26
ID0445;26
ID0446;26
ID0447;26
ID0448;26
ID0449;26
ID0450;26
ID0451;26
ID0452;26
ID0453;26
ID0454;26
ID0455;26
ID0456;26
ID0457;26
ID0458;26
ID0459;26
ID0460;26
ID0461;26
ID0462;26
ID0463;26
ID0464;26
ID0465;26
ID0466;26
ID0467;26
ID0468;26
ID0469;26
ID0470;26
ID0471;26
ID0472;26
ID0473;26
ID0474;26
ID0475;26
ID0476;26
ID0477;26
ID0478;26
ID0479;26
ID0480;26
ID0481;26
ID0482;27
ID0483;27
ID0484;27
ID0485;27
ID0486;27
ID0487;27
ID0488;27
ID0489;27
ID0490;27
ID0491;27
ID0492;27
ID0493;27
ID0494;27
ID0495;27
ID0496;27
ID0497;27
ID0498;27
ID0499;27
ID0500;27
ID0501;27
ID0502;27
ID0503;27
ID0504;27
ID0505;27
ID0506;27
ID0507;27
ID0508;27
ID0509;27
ID0510;27
ID0511;27
ID0512;27
ID0513;27
ID0514;27
ID0515;27
ID0516;28
ID0517;28
ID0518;28
ID0519;28
ID0520;28
ID0521;28
ID0522;28
ID0523;28
ID0524;28
ID0525;28
ID0526;28
ID0527;28
ID0528;28
ID0529;28
ID0530;28
ID0531;28
ID0532;28
ID0533;28
ID0534;29
ID0535;29
ID0536;29
ID0537;29
ID0538;29
ID0539;29
ID0540;29
ID0541;29
ID0542;29
ID0543;29
ID0544;29
ID0545;29
ID0546;29
ID0547;29
ID0548;29
ID0549;29
ID0550;29
ID0551;30
ID0552;30
ID0553;30
ID0554;30
ID0555;30
ID0556;30
ID0557;30
ID0558;30
ID0559;30
ID0560;30
ID0561;30
ID0562;30
ID0563;31
ID0564;31
ID0565;31
ID0566;31
ID0567;31
ID0568;31
ID0569;31
ID0570;31
ID0571;31
ID0572;31
ID0573;31
ID0574;31
ID0575;31
ID0576;31
ID0577;31
ID0578;31
ID0579;31
ID0580;31
ID0581;31
ID0582;31
ID0583;31
ID0584;31
ID0585;31
ID0586;31
ID0587;31
ID0588;31
ID0589;31
ID0590;31
ID0591;31
ID0592;31
ID0593;32
ID0594;32
ID0595;32
ID0596;32
ID0597;32
ID0598;32
ID0599;32
ID0600;33
ID0601;33
ID0602;33
ID0603;33
ID0604;33
ID0605;33
ID0606;33
ID0607;33
ID0608;33
ID0609;33
ID0610;33
ID0611;33
ID0612;33
ID0613;34
ID0614;34
ID0615;34
ID0616;34
ID0617;34
ID0618;34
ID0619;34
ID0620;34
ID0621;34
ID0622;34
ID0623;34
ID0624;34
ID0625;34
ID0626;34
ID0627;34
ID0628;34
ID0629;34
ID0630;34
ID0631;35
ID0632;35
ID0633;35
ID0634;35
ID0635;35
ID0636;35
ID0637;35
ID0638;35
ID0639;35
ID0640;35
ID0641;35
ID0642;35
ID0643;35
ID0644;35
ID0645;35
ID0646;35
ID0647;35
ID0648;35
ID0649;35
ID0650;35
ID0651;35
ID0652;35
ID0653;35
ID0654;35
ID0655;35
ID0656;35
ID0657;35
ID0658;36
ID0659;36
ID0660;36
ID0661;36
ID0662;36
ID0663;36
ID0664;36
ID0665;36
ID0666;36
ID0667;36
ID0668;36
ID0669;36
ID0670;36
ID0671;36
ID0672;36
ID0673;36
ID0674;36
ID0675;36
ID0676;36
ID0677;36
ID0678;36
ID0679;36
ID0680;36
ID0681;36
ID0682;36
ID0683;36
ID0684;36
ID0685;36
ID0686;36
ID0687;36
ID0688;36
ID0689;36
ID0690;36
ID0691;36
ID0692;36
ID0693;36
ID0694;37
ID0695;37
ID0696;37
ID0697;37
ID0698;37
ID0699;37
ID0700;37
ID0701;37
ID0702;37
ID0703;37
ID0704;37
ID0705;37
ID0706;37
ID0707;37
ID0708;37
ID0709;38
ID0710;38
ID0711;38
ID0712;38
ID0713;38
ID0714;38
ID0715;38
ID0716;38
ID0717;38
ID0718;38
ID0719;38
ID0720;38
ID0721;38
ID0722;38
ID0723;38
ID0724;38
ID0725;38
ID0726;38
ID0727;38
ID0728;38
ID0729;38
ID0730;38
ID0731;38
ID0732;38
ID0733;38
ID0734;38
ID0735;38
ID0736;38
ID0737;38
ID0738;38
ID0739;38
ID0740;38
ID0741;38
ID0742;38
ID0743;39
ID0744;39
ID0745;39
ID0746;39
ID0747;39
ID0748;39
ID0749;39
ID0750;39
ID0751;39
ID0752;39
ID0753;39
ID0754;40
ID0755;40
ID0756;40
ID0757;40
ID0758;40
ID0759;40
ID0760;40
ID0761;40
ID0762;40
ID0763;40
ID0764;40
ID0765;40
ID0766;40
ID0767;40
ID0768;40
ID0769;40
ID0770;40
ID0771;40
ID0772;40
ID0773;40
ID0774;40
ID0775;40
ID0776;40
ID0777;40
ID0778;40
ID0779;40
ID0780;40
ID0781;40
ID0782;40
ID0783;40
ID0784;40
ID0785;40
ID0786;40
ID0787;41
ID0788;41
ID0789;41
ID0790;41
ID0791;41
ID0792;41
ID0793;41
ID0794;41
ID0795;41
ID0796;41
ID0797;41
ID0798;41
ID0799;41
ID0800;41
ID0801;41
ID0802;41
ID0803;41
ID0804;41
ID0805;41
ID0806;42
ID0807;42
ID0808;42
ID0809;42
ID0810;42
ID0811;42
ID0812;42
ID0813;42
ID0814;42
ID0815;42
ID0816;42
ID0817;42
ID0818;42
ID0819;42
ID0820;42
ID0821;42
ID0822;43
ID0823;43
ID0824;43
ID0825;43
ID0826;43
ID0827;43
ID0828;43
ID0829;43
ID0830;43
ID0831;43
ID0832;44
ID0833;44
ID0834;44
ID0835;44
ID0836;44
ID0837;44
ID0838;44
ID0839;44
ID0840;44
ID0841;44
ID0842;45
ID0843;45
ID0844;45
ID0845;45
ID0846;45
ID0847;45
ID0848;45
ID0849;45
ID0850;45
ID0851;45
ID0852;45
ID0853;45
ID0854;45
ID0855;45
ID0856;45
ID0857;45
ID0858;45
ID0859;45
ID0860;45
ID0861;45
ID0862;45
ID0863;45
ID0864;45
ID0865;45
ID0866;45
ID0867;45
ID0868;45
ID0869;45
ID0870;45
ID0871;45
ID0872;46
ID0873;46
ID0874;46
ID0875;46
ID0876;46
ID0877;46
ID0878;46
ID0879;46
ID0880;46
ID0881;46
ID0882;46
ID0883;46
ID0884;46
ID0885;46
ID0886;46
ID0887;47
ID0888;47
ID0889;47
ID0890;47
ID0891;47
ID0892;47
ID0893;47
ID0894;47
ID0895;47
ID0896;47
ID0897;48
ID0898;48
ID0899;48
ID0900;48
ID0901;48
ID0902;48
ID0903;48
ID0904;48
ID0905;48
ID0906;48
ID0907;48
ID0908;48
ID0909;49
ID0910;49
ID0911;49
ID0912;49
ID0913;49
ID0914;49
ID0915;49
ID0916;49
ID0917;50
ID0918;50
ID0919;50
ID0920;50
ID0921;50
ID0922;50
ID0923;50
ID0924;50
